date;SO2;NO2;NO;NOX;O3;CO;PM2.5;PM10;Amb.Wspeed;Amb.WDirection;Amb.Temp;Amb.RelHum;Amb.Pressure;death_count;Male;Female;10-64;65+;<10
2013/04/27;40.2238813771317;1.5564848347669;1.87528293345402;3.42539180624727;30.051885111576;0.0282968246092762;68.9052383088762;65.0964251842289;0.87235632183908;162.070664230656;16.6223323220591;59.8945292207792;855.750762987013;2;2;0;1;1;0
2013/04/28;40.6863554942905;1.51139655952923;1.82095971027611;3.32616500679051;34.485460251046;0.0284933019101942;47.5589181693096;75.0225325675237;0.772758620689655;125.86199235994;8.55494646799234;60.9299783549781;855.928138528139;6;2;4;5;1;0
2013/04/29;39.4134153056747;1.46630828429157;1.7666364870982;3.22693820733375;31.5984309623431;0.0286897792111122;44.7490739186721;76.5445434007542;0.83896551724138;140.570161571247;2.97154977269984;60.124783549783;856.281385281385;2;1;1;2;0;0
2013/04/30;38.140475117059;1.4212200090539;1.71231326392029;3.12771140787699;28.7114016736402;0.0288862565120301;41.9392296680347;78.0665542339846;0.905172413793104;155.278330782554;1.04123451661333;59.319588744588;856.634632034632;5;4;1;2;1;2
2013/05/01;36.8675349284432;1.37613173381624;1.65799004074239;3.02848460842023;25.8243723849372;0.0290827338129481;39.1293854173973;79.588565067215;0.971379310344828;169.986499993862;0.390963270371855;58.514393939393;856.987878787879;6;2;4;5;0;1
2013/05/02;35.5945947398275;1.33104345857857;1.60366681756448;2.92925780896347;22.9373430962343;0.0292792111138661;36.3195411667599;81.1105759004455;1.03758620689655;184.694669205169;0.22132360551192;57.7091991341982;857.341125541126;5;4;1;3;1;1
2013/05/03;34.3216545512117;1.28595518334091;1.54934359438657;2.83003100950671;20.0503138075314;0.029475688414784;33.5096969161224;82.632586733676;1.10379310344828;199.402838416476;0.323768616056617;56.9040043290034;857.694372294372;4;3;1;2;1;1
2013/05/04;33.048714362596;1.24086690810324;1.49502037120866;2.73080421004995;17.1632845188285;0.029672165715702;30.6998526654849;84.1545975669064;1.17;214.111007627783;0.824239307604539;56.0988095238087;858.047619047619;5;3;2;2;3;0
2013/05/05;31.7757741739802;1.19577863286558;1.44069714803076;2.63157741059319;14.2762552301255;0.0298686430166199;27.8900084148475;85.6766084001369;1.23620689655172;228.81917683909;2.33799045763135;55.2936147186141;858.400865800866;4;1;2;3;1;0
2013/05/06;30.5028339853645;1.15069035762791;1.38637392485285;2.53235061113643;11.3892259414226;0.0300651203175379;25.08016416421;87.1986192333673;1.30241379310345;243.527346050397;6.72595546881583;54.4884199134195;858.754112554113;4;2;2;4;0;0
2013/05/07;33.7092138642842;1.10560208239025;1.33205070167494;2.43312381167967;8.48356868898187;0.0302615976184559;33.1705213908051;89.3296086163296;1.42270114942529;246.332153146105;14.4760456457971;47.9880952380952;858.44744047619;2;1;1;1;1;0
2013/05/08;35.41525;1.06051380715258;1.27772747849703;2.33389701222292;24.4152916666667;0.0304580749193738;43.354125;105.77775;1.30541666666667;199.34875;12.765;45.7345833333333;854.6925;2;1;1;1;1;0
2013/05/09;20.1826666666667;1.01542553191492;1.22340425531913;2.23467021276616;26.4007083333333;0.0306545522202918;39.616;89.7729583333333;1.2275;179.557083333333;14.63625;41.4945833333333;851.12875;1;0;1;1;0;0
2013/05/10;15.7159583333333;0.970337256677253;1.16908103214122;2.1354434133094;32.022875;0.0308510295212097;29.0618333333333;67.9889166666667;2.7975;143.445416666667;15.0125;50.39;852.635416666667;3;2;1;2;0;1
2013/05/11;7.66875;0.925248981439588;1.11475780896331;2.03621661385264;31.486125;0.0310475068221277;18.2215;26.0735833333333;3.85583333333333;124.966666666667;12.43625;75.0966666666667;855.34625;4;2;2;4;0;0
2013/05/12;14.60075;0.880160706201923;1.0604345857854;1.93698981439588;20.4360833333333;0.0312439841230457;41.0243333333333;51.4625416666667;1.0975;169.59;12.5591666666667;72.6183333333333;857.787083333333;4;2;2;3;1;0
