year;variable;Total;q25;median;mean;sd;q75;q99;skew;kurtosis
2015;pm10;NA;14.6313311396566;39.0229375;49.547265495125;41.246488497987;73.812;163.067287948759;0.993784085831236;3.12393778710529
2015;pm2.5;NA;8.08433333333333;14.7131875;21.1025086472603;16.9724187686315;30.2139791666667;73.1593516666667;1.28377513422152;4.12780388240394
2015;so2;NA;5.10593149999726;8.47258333333333;10.8706201802709;8.17291597024581;14.4752291666667;38.2527664796084;1.34470090479466;4.6129958167946
2016;Female;1049;2;3;2.86612021857924;1.76762350382125;4;8;0.853366987867199;3.62684619641067
2016;Male;912;1;2;2.49180327868852;1.6162491753474;3;7;0.823742599858235;3.92727930552097
2016;SixtyFivePlus;1208;2;3;3.30054644808743;1.92953957934208;4;9;0.736588898816141;3.7532620150513
2016;TenToSixtyFour;741;1;2;2.02459016393443;1.51411503926292;3;6.35000000000002;0.916235983551789;4.26527187005071
2016;death_count;1963;4;5;5.36338797814208;2.48097936854436;7;12;0.642470957264346;3.43022379594223
2016;no2;NA;7.86301428970917;12.1812386465324;13.7464008709017;7.3997144503312;17.834609375;35.6993093750001;1.05357956876266;3.94704613486636
2016;pm10;NA;18.5391145833333;30.8624375;37.3166882564814;24.2178757714201;52.6393802083333;106.348632777796;1.00476958978731;3.54441592653343
2016;pm2.5;NA;8.95803072916669;13.143;16.5738022256377;10.4787002171897;21.5658365841732;47.4935658950618;1.2209786111922;4.26900034921936
2016;so2;NA;5.04049771296214;7.04632806851576;9.63826382386969;7.69305734861278;10.8436298293007;37.7748552083334;2.03930919511609;7.58240022244545
2017;Female;910;1;2;2.49315068493151;1.6011953610895;3;7;0.637666378220825;3.4473186694742
2017;Male;858;1;2;2.35068493150685;1.5611283683052;3;6.36000000000001;0.521307980212384;2.94635399676185
2017;SixtyFivePlus;1100;2;3;3.01369863013699;1.73437412061106;4;7;0.45032372485167;2.79942860831452
2017;TenToSixtyFour;659;1;2;1.80547945205479;1.30214219220674;3;5;0.80473654359586;3.9294706918864
2017;death_count;1769;3;5;4.84657534246575;2.21471615226526;6;10;0.261119238814967;2.87064425221971
2017;no2;NA;7.6493125;9.46287902799411;11.4948390410949;6.35939332716539;13.3184962611778;32.835202921022;1.8006147716131;6.92242357302044
2017;pm10;NA;15.4096108167033;24.8965200159742;31.4353387604218;19.5135893970178;44.4788897461564;85.8283969554633;0.937101047064951;3.23549950602827
